LOCATION,STATE,LOCATION DESCRIPTION,LATITUDE,LONGITUDE,GROSS_REGIONAL_PRODUCT,TOTAL_PERSONAL_INCOME,TOTAL_EMPLOYMENT,NUMBER_OF_INDUSTRIES,LAND_AREA,POPULATION,TOTAL_HOUSEHOLDS,JOBS_SUPPORTED_DIRECT,LABOR_INCOME_DIRECT,VALUE_ADDED_DIRECT,OUTPUT_DIRECT
Bozeman/Big Sky,Montana,"This study area consists of two areas from the original survey: Bozeman and Big Sky. Bozeman is a central city for the CGNF mountain biking community. Bozeman provides easy access to trails in the Bridger Range to the north and in the Gallatin National Forest to the south. It also includes the northern Gallatins, Bozeman Pass, Bear Canyon, Hyalite, Stormcastle, and Gallatin Canyon, which are all popular mountain biking areas. Big Sky includes mountain biking in the Spanish Peaks and southern Gallatins. This area is modeled in the Gallatin County and Madison County.",45.677,-111.0429,5949534,5395045,88753,276,6104,112426,46657,75.3,2227203,2728614,4695254
Livingston/Paradis Valley/Crazy Mountains,Montana,"This study area combines two initial study areas from the survey (Livingston / Paradise Valley and Crazy Mountains). Mountain biking near Livingston lies to the southeast in the Gallatin National Forest in Park County. The Crazy Mountains (northeast of Livingston along the Park and Sweet Grass County line includes additional remote mountain biking trails. This area also includes the Absaroka Mountains trails. The area is modeled in Park and Sweet Grass Counties, which includes both Livingston and Big Timber.",45.6614,-110.56,760874,880646,12797,191,4519,19737,8916,3.4,89843,95151,178736
Red Lodge/Cooke County/Pryor Mountains,Montana,"This study area assembles three areas examined in the survey into one central area that shares an overlapping economic expenditure area. Red Lodge (which is often described as a gateway to the Yellowstone National Forest in nearby Wyoming) provides access to numerous mountain biking opportunities in the Custer National Forest. Likewise, Cooke City (which is just north of Wyoming�s state line) offers access to mountain biking in the same region but from another entry point. The Pryor Mountains are to the east of Red Lodge and offer remote mountain biking trails in the area. The area is modeled entirely in Carbon and Park Counties, which include the towns of Cooke City and Red Lodge and the likely expenditure areas for visitors to the Pryors. Note that no expenditures in nearby Wyoming were examined in this study.",45.1858,-109.2468,791469,1168660,15672,199,4712,26574,11999,1.8,43626,54191,96539
Sioux and Ashland Ranger Districts,Montana,"This rural study area consists of two Forest Service districts in the southeastern corner of Montana along the South Dakota border. The area includes a portion of the Northern Cheyenne Indian Reservation and the Blue Mud Hills. This study area is modeled in three rural counties: Rosebud, Carter, and Powder River.",45.6162,-106.3068,714848,475637,7997,152,11669,12236,4623,0.5,11161,13968,25391
West Yellowstone,Montana,"West Yellowstone is located on the Montana and Wyoming state line. It is also due north of the Montana/Idaho state line. It offers another gateway into the Yellowstone National Forest. This study area is modeled in Gallatin County, which includes West Yellowstone. It also includes mountain biking trails in Hebgen and the Lionhead.",44.6621,-111.1041,5557058,5007193,82336,271,2511,104502,42926,4.6,113684,120225,230131
Grand Junction,Colorado,"The Grand Junction study area includes mountain biking opportunities in Grand Mesa, Cedaredge, and McClure Pass areas, as well as the Uncompahgre Plateau, Montrose, Norwood, and Paonia / Northfork areas. Expenditures are modeled in Mesa County, Delta County, Montrose County, and San Miguel County. These counties include cities and towns such as Cedaredge, Paonia, Crawford, Hotchkiss, Montrose, Norwood, and Telluride. It also includes the Grand Junction metropolitan statistical area.",39.0639,-108.5506,8043682,8987203,129873,298,7996,230013,91470,78.1,1883807,2633029,4496209
Crested Butte,Colorado,"The Crested Butte study area includes Crested Butte, Gunnison, and Taylor Park mountain biking opportunities. It is modeled in Gunnison County, which includes both Gunnison and Crested Butte.",38.8697,-106.9878,817151,710875,13044,176,3239,16408,7165,137.3,3022165,3874813,7173569
West Slope,Colorado,"The West Slope study area is the Western Slope of the Monarch Pass area. This aggregated area includes Canyon Creek Trail, Monarch Crest, Agate Creek Trail, Cochetopa Hills, and Colorado Trails. The study area is modeled in Gunnison County and Chafee County, which includes Gunnison and Salida as likely locations for expenditures.",38.1894,-106.5873,1470259,1473027,24937,203,4252,35466,15758,22,503299,643433,1182793
Ouray,Colorado,"The Ouray study area includes mountain biking in Ouray and Ridgway, Telluride, Silverton, and Lake City. The study area is modeled in San Miguel, Hinsdale, and Ouray counties.",38.0228,-107.6714,815090,888412,4181,181,2946,13662,6151,15.9,510431,1017965,1539167
Grandfather,North Carolina,"The Grandfather study region includes the following common mountain biking areas: Boone Fork, Old Fort, Wilson Creek, and Woods Mountain. The research team built the region�s economic model around zip codes in Boone, Blowing Rock, Lenoir, Marion, Morganton, and Old Fort as these are the most common areas where mountain bikers would spend funds while visiting this region.",35.68644,-81.910784,6889387355,6092022704,100962,295,1174,192884,77638,31,635732,1139115,2167944
Appalachian,North Carolina,The Appalachian study region includes mountain biking areas Big Ivy and Hot Springs. The research team built this region�s economic model around Asheville and Hot Springs.,35.839246,-82.52683,8735386680,6434926924,132945,284,331,158635,68767,16,408317,777131,1329105
Pisgah,North Carolina,"The Pisgah study region includes mountain biking at Bent Creek, 276 Corridor, Upper Davidson River / Bracken Mountain, North Mills River, and Turkey Pen. The economic model for this region is built around Asheville, Hendersonville, and Brevard.",35.284813,-82.727003,10906128637,9512284736,170173,324,527,243916,104858,161,3846925,6907493,7934726
Cheoah,North Carolina,The Cheoah study region includes the following common mountain biking areas at Tsali and Santeelah. The research team built the region�s economic model around Robbinsville and Bryson City as these are the most common areas where mountain bikers would spend funds while visiting this region.,35.33574,-83.827136,441571837,461197520,7740,145,531,15307,6430,30,666048,1170218,1704812
Tusquitee,North Carolina,"The Tusquitee study region includes mountain biking areas Hanging Dog, Jackrabbit, and Ramsey Bluf. The research team built this region�s economic model around Murphy and Andrews.",35.079449,-84.030001,647918656,710236384,12226,165,409,23964,10209,16,332851,560918,1076820
Nantahala,North Carolina,"The Nantahala study region includes mountain biking at Panthertown Valley, The economic model for this region is built around Brevard and Cashiers.",35.169437,-83.406873,696273557,723744216,13747,191,179,21370,9338,45,965487,1892905,2638686
